1;Aadi;Hindu;Male;Beginning;
2;Aakav;Hindu;Male;Shape;
3;Aakesh;Hindu;Male;Lord of the sky;
4;Aakil;Hindu;Male;Intelligent;
5;Aalok;Hindu;Male;Light of God;
6;Aamin;Hindu;Male;Grace of God;
7;Aanan;Hindu;Male;Face;
8;Aanandini;Hindu;Female;Happy, joyful;Anada
9;Aandaleeb;Hindu;Male;Bluebird;
10;Aaron;Hebrew;Male;Exalted, on high;Aharon, Ari, Arin, Arny, Haroun, Ron, Ronnie
11;Aatmadeva;Hindu;Male;God of the soul;
12;Aatmik;Hindu;Male;Soul;
13;Aba;African - Ghanian;Female;Born on Thursday;
14;Ababuo;African - Ghanian;Female;Child that keeps coming back;
15;Abagbe;African - Nigerian;Female;Much wanted child;
16;Abam;African - Ghanian;Female;Second child born after twins;
17;Abarrane;Spanish - Basque;Female;Mother of many;Abame
18;Abayomi;African - Nigerian;Male/Female;Brings happiness;
19;Abba;Hebrew;Male;Father;
20;Abbas;Arabic;Male;Stern;
21;Abbott;Hebrew;Male;Father;Ab, Abad, Abe, Abbe, Abbey
22;Abda;Arabic;Male;Servant;
23;Abdul;Arabic;Male;Servant of;Ab, Abdel, Abdullah, Del
24;Abebi;African - Nigerian;Female;She came after asking;
25;Abedabun;NAm. Indian - Chippewa;Female;Sunrise;
26;Abeeku;African - Ghanian;Male;Born on Wednesday;
27;Abejide;African - Nigerian;Male;Born in winter;
28;Abeke;African - Nigerian;Female;We asked for her;
29;Abel;Hebrew;Male;Breath, a sigh;Abe, Abey, Abie, Able
30;Abelard;Old German;Male;Highborn and steadfast;Abe, Abel
31;Abelia;Hebrew;Female;Breath, a sigh;Abella, Abelle (feminine of Abel)
32;Abellona;Norse;Female;Sun, shining;
33;Abena;African - Ghanian;Female;Born on a Thursday;Aba, Abana, Abena
34;Abeo;African - Nigerian;Female;She brings joy;
35;Abequa;NAm. Indian - Chippewa;Female;Homebody;
36;Abey;NAm. Indian - Omaha;Female;Leaf;
37;Abeytu;NAm. Indian - Omaha;Female;Green leaf;
38;Abeytzi;NAm. Indian - Omaha;Female;Yellow leaf;
39;Abha;Hindu;Female;Light;Aabha, Abhaa
40;Abhiraja;Hindu;Male;Great king;
41;Abia;Arabic;Female;Great;
42;Aviah;Hebrew;Male;My father is God;Abia, Abija
43;Avichayil;Hebrew;Female;Strong father;Avichayil
44;Abid;Arabic;Male;One who worships Allah;
45;Abida;Arabic;Female;She who worships;
46;Avida;Hebrew;Male;Father of knowledge;
47;Abidemi;African - Nigerian;Female;Born during the father's absence;
48;Aviel;Hebrew;Male;My father is God;
49;Avigail;Hebrew;Female;My father is joyful;Abbie, Abby, Gael, Gail
50;Avijah;Hebrew;Female;God is my father;
51;Abimbola;African - Nigerian;Female;Wealthy;
52;Avimelech;Hebrew;Male;My father is king;
53;Abinkanile;African - Malawian;Female;Listen;
54;Abiodun;African - Nigerian;Male;Born during war;
55;Abiola;African - Nigerian;Male;Born during the New Year;
56;Abiona;African - Nigerian;Female;Born during a trip;
57;Abir;Arabic;Female;Scent;
58;Abir;Hebrew;Male;Strong, also Knight;
59;Avira;Hebrew;Female;Strong;Abi
60;Avisha;Hebrew;Male;Gift of my father;Abijah, Abishai
61;Avital;Hebrew;Female;Dew is my father;
62;Abmaba;African - Ghanian;Female;Born on a Tuesday;
63;Abner;Hebrew;Male;My father is light;Ab, Abby, Abna, Abnar, Abnor, Avner, Eb, Ebby, Ebner
64;Abornazine;NAm. Indian - Abnaki;Male;Keeper of the flame;Bornbazine
65;Abra;Hebrew;Female;Mother of many;
66;Abraham;Hebrew;Male;Father of many;Abarran, Abe, Abrahamo, Abrahan, Abram, Abrami, Abramo, Abran, Avram, Avrom, Bram, Ibrahim
67;Abram;Hebrew;Male;My father is lofty;Abe, Abie, Abramo, Avram, Bram
68;Absalom;Hebrew;Male;My father is peace;Absolon
69;Acacia;Greek;Female;Thorny/ resurrection;Cacia, Casey, Casia, Cassie
70;Acadia;NAm. Indian - Micmac;Female;Village, town;
71;Acadia;Old French;Female;From Acadia;
72;Acaija;Greek;Female;Joy, happiness;
73;Acantha;Greek;Female;Thorned;
74;Accalia;Latin;Female;? (Foster-mother of Romulus and Remus;
75;Ace;Latin;Male;Unity;Acer, Acie
76;Aceline;Old French;Female;Noble, highborn;Aceline
77;Acenith;African;Female;Goddess of love;
78;Acestes;Greek;Male;?  (Mythological Trojan king);
79;Achaius;Irish Gaelic;Male;Horseman;
80;Achala;Hindu;Female;Steady;Achalaa
81;Acharon;Hebrew;Male;Last;
82;Achates;Greek;Male;?  (Mythological figure);
83;Achav;Hebrew;Male;Uncle;Ahab
84;Achazya;Hebrew;Male;Held by god;Achazia, Achaziah, Achazyahu, Ahaziah, Ahaziahu
85;Achban;Hebrew;Male;Brother of a smart man;
86;Achelous;Greek;Male;God of the river;
87;Acher;Hebrew;Male;Other;
88;Acheron;Greek;Male;River of woe;
89;Achida;Hebrew;Male;Smart brother;
90;Achilles;Greek;Male;From Achillos;Achill, Achille, Achillea, Akil, Akilles
91;Achim;Hebrew;Male;God will judge;Acim
92;Achimelech;Hebrew;Male;The king is my brother;Ahimelech
93;Achisar;Hebrew;Male;The prince is my brother;
94;Achishar;Hebrew;Male;My brother is a song;Ahishar
95;Achiya;Hebrew;Male;God is my brother;Achiyahu, Ahia, Ahiah
96;Achsah;Hebrew;Female;Anklet;Achsa
97;Acima;Hebrew;Female;The Lord will judge;
98;Ackerley;Old English;Male;From the oak meadow;Ackleigh, Ackley, Ackerleigh
99;Actaeon;Greek;Male;?  (Mythological figure;
100;Acton;Old English;Male;From the oak tree village;
101;Ada;Old English;Female;Happy, prosperous;Aida
102;Adad;Greek;Male;God of storms and floods;
103;Adael;Hebrew;Male;God's ornament;Adiel
104;Adah;Hebrew;Female;Tiara or crown;
105;Adaiah;Hebrew;Male;Witness of God;Adaia, Adaya
106;Adair;Scots Gaelic;Male;From the oak tree ford;Adare
107;Adalard;Old German;Male;Noble and courageous;Adelard
108;Adalfieri;Italian;Male;Noble oath;
109;Adalheidis;Norse;Female;Noble, regal one;Aalt, Aaltje, Adalheid, Aleida, Alida
110;Adalia;Hebrew;Female;"God is my refuge; noble";
111;Adalric;Old German;Male;Highborn ruler;Adelric
112;Adam;Hebrew;Male;Man of the red earth;Ad, Adamo, Adams, Adan, Adao, Addam, Addie, Addis, Addison, Addy, Ade, Adhamh, Adnet, Adnot
113;Adamina;Latin;Female;Of the red earth;Ada, Addie, Mina
114;Adamma;African - Nigerian;Female;Pretty child;
115;Adamnan;Irish Gaelic;Male;Little Adam;Adhamhnan
116;Adamya;Hindu;Male;Difficult;
117;Adanna;African - Nigerian;Female;Father's daughter;
118;Adapa;Greek;Male;?  (Mythological figure);
119;Adar;Hebrew;Male/Female;"High, eminent; or fire";
120;Adar;Syrian;Male;Ruler, prince;
121;Adara;Greek;Female;Beauty;
122;Addae;African - Ghanian;Male;Morning sun;
123;Addison;Old English;Male;Son of Adam;Ad, Adisson
124;Addula;Old German;Female;Noble cheer;
125;Ade;African - Nigerian;Male;Royal, regal;
126;Adebayo;African - Nigerian;Male;He was happy;
127;Adeben;African - Ghanian;Male;Twelfth- born son;
128;Adebola;African - Nigerian;Female;Her honor;
129;Adedagbo;African - Nigerian;Female;Happiness, joy;
130;Adejola;African - Nigerian;Male;The crown needs honor;
131;Adel;Old German;Male;Noble, highborn;Adal
132;Adelaide;Old German;Female;Noble, highborn;Ada, Adaliah, Adan, Addalah, Addie, Addiah, Adele, Adella, Adia, Aida, Adalia, Aline, Alyosha, Del, Della, Delly, Edeline, Eline, Heidi, Lady
133;Adelar;Old German;Male;Noble eagle;Adal, Adalar, Adalard, Adelard
134;Adeleke;African - Nigerian;Female;The crown brings happiness;
135;Adelinda;Old German;Female;Noble, sweet;Adeline, Linda
136;Adeline;Old German;Female;Noble, highborn;Adalina, Adelind, Adella, Aline, Dalina, Daline, Delina, Delly, Delyne, Edelie, Lina
137;Adelpha;Greek;Female;Beloved sister;
138;Adena;Hebrew;Female;Decoration;
139;Adeola;African - Nigerian;Female;Crown;Adola, Dola
